OEM_KODU,MARKA,KATEGORI,PARCA_ADI,UYUMLU_MODELLER,MUADIL_REFERANSLAR,DEGISIM_ARALIGI,TEKNIK_OZELLIKLER
149-2100,"Onan Generator","Yağlama & Filtre","Onan Generator Yağlama & Filtre Elemanı & Orijinal Servis Kiti (149-2100)","e-QD 4kW - 27kW Marin Jeneratör Parçaları","Fleetguard -2100, Mann -2100, Baldwin -2100","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 149-2100)"
149-2101,"Onan Generator","Yakıt Filtrasyonu","Onan Generator Yakıt Filtrasyonu Elemanı & Orijinal Servis Kiti (149-2101)","e-QD 4kW - 27kW Marin Jeneratör Parçaları","Fleetguard -2101, Mann -2101, Baldwin -2101","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 149-2101)"
149-2102,"Onan Generator","İmpeller & Soğutma","Onan Generator İmpeller & Soğutma Elemanı & Orijinal Servis Kiti (149-2102)","e-QD 4kW - 27kW Marin Jeneratör Parçaları","Fleetguard -2102, Mann -2102, Baldwin -2102","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 149-2102)"
149-2103,"Onan Generator","Hava Emiş","Onan Generator Hava Emiş Elemanı & Orijinal Servis Kiti (149-2103)","e-QD 4kW - 27kW Marin Jeneratör Parçaları","Fleetguard -2103, Mann -2103, Baldwin -2103","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 149-2103)"
149-2104,"Onan Generator","Termostat & Soğutma","Onan Generator Termostat & Soğutma Elemanı & Orijinal Servis Kiti (149-2104)","e-QD 4kW - 27kW Marin Jeneratör Parçaları","Fleetguard -2104, Mann -2104, Baldwin -2104","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 149-2104)"
149-2105,"Onan Generator","Kayış & Kasnak","Onan Generator Kayış & Kasnak Elemanı & Orijinal Servis Kiti (149-2105)","e-QD 4kW - 27kW Marin Jeneratör Parçaları","Fleetguard -2105, Mann -2105, Baldwin -2105","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 149-2105)"
GM11106,"Kohler Generator","Sensör & Elektronik","Kohler Generator Sensör & Elektronik Elemanı & Orijinal Servis Kiti (GM11106)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11106, Jabsco 11106, Sherwood 11106","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11106)"
GM11107,"Kohler Generator","Tutya & Korozyon","Kohler Generator Tutya & Korozyon Elemanı & Orijinal Servis Kiti (GM11107)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11107, Jabsco 11107, Sherwood 11107","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11107)"
GM11108,"Kohler Generator","Ateşleme & Elektrik","Kohler Generator Ateşleme & Elektrik Elemanı & Orijinal Servis Kiti (GM11108)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11108, Jabsco 11108, Sherwood 11108","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11108)"
GM11109,"Kohler Generator","Şanzıman & Redüksiyon","Kohler Generator Şanzıman & Redüksiyon Elemanı & Orijinal Servis Kiti (GM11109)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11109, Jabsco 11109, Sherwood 11109","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11109)"
GM11110,"Kohler Generator","Yağlama & Filtre","Kohler Generator Yağlama & Filtre Elemanı & Orijinal Servis Kiti (GM11110)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11110, Jabsco 11110, Sherwood 11110","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11110)"
GM11111,"Kohler Generator","Yakıt Filtrasyonu","Kohler Generator Yakıt Filtrasyonu Elemanı & Orijinal Servis Kiti (GM11111)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11111, Jabsco 11111, Sherwood 11111","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11111)"
GM11112,"Kohler Generator","İmpeller & Soğutma","Kohler Generator İmpeller & Soğutma Elemanı & Orijinal Servis Kiti (GM11112)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11112, Jabsco 11112, Sherwood 11112","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11112)"
GM11113,"Kohler Generator","Hava Emiş","Kohler Generator Hava Emiş Elemanı & Orijinal Servis Kiti (GM11113)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11113, Jabsco 11113, Sherwood 11113","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11113)"
GM11114,"Kohler Generator","Termostat & Soğutma","Kohler Generator Termostat & Soğutma Elemanı & Orijinal Servis Kiti (GM11114)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11114, Jabsco 11114, Sherwood 11114","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11114)"
GM11115,"Kohler Generator","Kayış & Kasnak","Kohler Generator Kayış & Kasnak Elemanı & Orijinal Servis Kiti (GM11115)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11115, Jabsco 11115, Sherwood 11115","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11115)"
GM11116,"Kohler Generator","Sensör & Elektronik","Kohler Generator Sensör & Elektronik Elemanı & Orijinal Servis Kiti (GM11116)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11116, Jabsco 11116, Sherwood 11116","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11116)"
GM11117,"Kohler Generator","Tutya & Korozyon","Kohler Generator Tutya & Korozyon Elemanı & Orijinal Servis Kiti (GM11117)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11117, Jabsco 11117, Sherwood 11117","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11117)"
GM11118,"Kohler Generator","Ateşleme & Elektrik","Kohler Generator Ateşleme & Elektrik Elemanı & Orijinal Servis Kiti (GM11118)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11118, Jabsco 11118, Sherwood 11118","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11118)"
GM11119,"Kohler Generator","Şanzıman & Redüksiyon","Kohler Generator Şanzıman & Redüksiyon Elemanı & Orijinal Servis Kiti (GM11119)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11119, Jabsco 11119, Sherwood 11119","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11119)"
GM11120,"Kohler Generator","Yağlama & Filtre","Kohler Generator Yağlama & Filtre Elemanı & Orijinal Servis Kiti (GM11120)","5E - 40EFOZD Marin Jeneratör Parçaları","Johnson 11120, Jabsco 11120, Sherwood 11120","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: GM11120)"
FIS-1121,"Fischer Panda","Yakıt Filtrasyonu","Fischer Panda Yakıt Filtrasyonu Elemanı & Orijinal Servis Kiti (FIS-1121)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1121, Jabsco -1121, CEF -1121","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1121)"
FIS-1122,"Fischer Panda","İmpeller & Soğutma","Fischer Panda İmpeller & Soğutma Elemanı & Orijinal Servis Kiti (FIS-1122)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1122, Jabsco -1122, CEF -1122","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1122)"
FIS-1123,"Fischer Panda","Hava Emiş","Fischer Panda Hava Emiş Elemanı & Orijinal Servis Kiti (FIS-1123)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1123, Jabsco -1123, CEF -1123","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1123)"
FIS-1124,"Fischer Panda","Termostat & Soğutma","Fischer Panda Termostat & Soğutma Elemanı & Orijinal Servis Kiti (FIS-1124)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1124, Jabsco -1124, CEF -1124","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1124)"
FIS-1125,"Fischer Panda","Kayış & Kasnak","Fischer Panda Kayış & Kasnak Elemanı & Orijinal Servis Kiti (FIS-1125)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1125, Jabsco -1125, CEF -1125","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1125)"
FIS-1126,"Fischer Panda","Sensör & Elektronik","Fischer Panda Sensör & Elektronik Elemanı & Orijinal Servis Kiti (FIS-1126)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1126, Jabsco -1126, CEF -1126","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1126)"
FIS-1127,"Fischer Panda","Tutya & Korozyon","Fischer Panda Tutya & Korozyon Elemanı & Orijinal Servis Kiti (FIS-1127)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1127, Jabsco -1127, CEF -1127","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1127)"
FIS-1128,"Fischer Panda","Ateşleme & Elektrik","Fischer Panda Ateşleme & Elektrik Elemanı & Orijinal Servis Kiti (FIS-1128)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1128, Jabsco -1128, CEF -1128","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1128)"
FIS-1129,"Fischer Panda","Şanzıman & Redüksiyon","Fischer Panda Şanzıman & Redüksiyon Elemanı & Orijinal Servis Kiti (FIS-1129)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1129, Jabsco -1129, CEF -1129","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1129)"
FIS-1130,"Fischer Panda","Yağlama & Filtre","Fischer Panda Yağlama & Filtre Elemanı & Orijinal Servis Kiti (FIS-1130)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1130, Jabsco -1130, CEF -1130","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1130)"
FIS-1131,"Fischer Panda","Yakıt Filtrasyonu","Fischer Panda Yakıt Filtrasyonu Elemanı & Orijinal Servis Kiti (FIS-1131)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1131, Jabsco -1131, CEF -1131","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1131)"
FIS-1132,"Fischer Panda","İmpeller & Soğutma","Fischer Panda İmpeller & Soğutma Elemanı & Orijinal Servis Kiti (FIS-1132)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1132, Jabsco -1132, CEF -1132","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1132)"
FIS-1133,"Fischer Panda","Hava Emiş","Fischer Panda Hava Emiş Elemanı & Orijinal Servis Kiti (FIS-1133)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1133, Jabsco -1133, CEF -1133","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1133)"
FIS-1134,"Fischer Panda","Termostat & Soğutma","Fischer Panda Termostat & Soğutma Elemanı & Orijinal Servis Kiti (FIS-1134)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1134, Jabsco -1134, CEF -1134","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1134)"
FIS-1135,"Fischer Panda","Kayış & Kasnak","Fischer Panda Kayış & Kasnak Elemanı & Orijinal Servis Kiti (FIS-1135)","Panda 5000i..25i Değişken Devir Jeneratör Parçaları","Johnson -1135, Jabsco -1135, CEF -1135","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: FIS-1135)"
NOR-1136,"Northern Lights","Sensör & Elektronik","Northern Lights Sensör & Elektronik Elemanı & Orijinal Servis Kiti (NOR-1136)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1136, Jabsco -1136, Sherwood -1136","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1136)"
NOR-1137,"Northern Lights","Tutya & Korozyon","Northern Lights Tutya & Korozyon Elemanı & Orijinal Servis Kiti (NOR-1137)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1137, Jabsco -1137, Sherwood -1137","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1137)"
NOR-1138,"Northern Lights","Ateşleme & Elektrik","Northern Lights Ateşleme & Elektrik Elemanı & Orijinal Servis Kiti (NOR-1138)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1138, Jabsco -1138, Sherwood -1138","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1138)"
NOR-1139,"Northern Lights","Şanzıman & Redüksiyon","Northern Lights Şanzıman & Redüksiyon Elemanı & Orijinal Servis Kiti (NOR-1139)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1139, Jabsco -1139, Sherwood -1139","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1139)"
NOR-1140,"Northern Lights","Yağlama & Filtre","Northern Lights Yağlama & Filtre Elemanı & Orijinal Servis Kiti (NOR-1140)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1140, Jabsco -1140, Sherwood -1140","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1140)"
NOR-1141,"Northern Lights","Yakıt Filtrasyonu","Northern Lights Yakıt Filtrasyonu Elemanı & Orijinal Servis Kiti (NOR-1141)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1141, Jabsco -1141, Sherwood -1141","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1141)"
NOR-1142,"Northern Lights","İmpeller & Soğutma","Northern Lights İmpeller & Soğutma Elemanı & Orijinal Servis Kiti (NOR-1142)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1142, Jabsco -1142, Sherwood -1142","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1142)"
NOR-1143,"Northern Lights","Hava Emiş","Northern Lights Hava Emiş Elemanı & Orijinal Servis Kiti (NOR-1143)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1143, Jabsco -1143, Sherwood -1143","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1143)"
NOR-1144,"Northern Lights","Termostat & Soğutma","Northern Lights Termostat & Soğutma Elemanı & Orijinal Servis Kiti (NOR-1144)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1144, Jabsco -1144, Sherwood -1144","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1144)"
NOR-1145,"Northern Lights","Kayış & Kasnak","Northern Lights Kayış & Kasnak Elemanı & Orijinal Servis Kiti (NOR-1145)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1145, Jabsco -1145, Sherwood -1145","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1145)"
NOR-1146,"Northern Lights","Sensör & Elektronik","Northern Lights Sensör & Elektronik Elemanı & Orijinal Servis Kiti (NOR-1146)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1146, Jabsco -1146, Sherwood -1146","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1146)"
NOR-1147,"Northern Lights","Tutya & Korozyon","Northern Lights Tutya & Korozyon Elemanı & Orijinal Servis Kiti (NOR-1147)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1147, Jabsco -1147, Sherwood -1147","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1147)"
NOR-1148,"Northern Lights","Ateşleme & Elektrik","Northern Lights Ateşleme & Elektrik Elemanı & Orijinal Servis Kiti (NOR-1148)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1148, Jabsco -1148, Sherwood -1148","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1148)"
NOR-1149,"Northern Lights","Şanzıman & Redüksiyon","Northern Lights Şanzıman & Redüksiyon Elemanı & Orijinal Servis Kiti (NOR-1149)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1149, Jabsco -1149, Sherwood -1149","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1149)"
NOR-1150,"Northern Lights","Yağlama & Filtre","Northern Lights Yağlama & Filtre Elemanı & Orijinal Servis Kiti (NOR-1150)","M673..M1066 Marin Jeneratör Parçaları","Johnson -1150, Jabsco -1150, Sherwood -1150","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: NOR-1150)"
69J-11151-00,"Yamaha Marine","Yakıt Filtrasyonu","Yamaha Marine Yakıt Filtrasyonu Elemanı & Orijinal Servis Kiti (69J-11151-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 51-00, Mallory 51-00, Solas 51-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11151-00)"
69J-11152-00,"Yamaha Marine","İmpeller & Soğutma","Yamaha Marine İmpeller & Soğutma Elemanı & Orijinal Servis Kiti (69J-11152-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 52-00, Mallory 52-00, Solas 52-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11152-00)"
69J-11153-00,"Yamaha Marine","Hava Emiş","Yamaha Marine Hava Emiş Elemanı & Orijinal Servis Kiti (69J-11153-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 53-00, Mallory 53-00, Solas 53-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11153-00)"
69J-11154-00,"Yamaha Marine","Termostat & Soğutma","Yamaha Marine Termostat & Soğutma Elemanı & Orijinal Servis Kiti (69J-11154-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 54-00, Mallory 54-00, Solas 54-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11154-00)"
69J-11155-00,"Yamaha Marine","Kayış & Kasnak","Yamaha Marine Kayış & Kasnak Elemanı & Orijinal Servis Kiti (69J-11155-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 55-00, Mallory 55-00, Solas 55-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11155-00)"
69J-11156-00,"Yamaha Marine","Sensör & Elektronik","Yamaha Marine Sensör & Elektronik Elemanı & Orijinal Servis Kiti (69J-11156-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 56-00, Mallory 56-00, Solas 56-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11156-00)"
69J-11157-00,"Yamaha Marine","Tutya & Korozyon","Yamaha Marine Tutya & Korozyon Elemanı & Orijinal Servis Kiti (69J-11157-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 57-00, Mallory 57-00, Solas 57-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11157-00)"
69J-11158-00,"Yamaha Marine","Ateşleme & Elektrik","Yamaha Marine Ateşleme & Elektrik Elemanı & Orijinal Servis Kiti (69J-11158-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 58-00, Mallory 58-00, Solas 58-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11158-00)"
69J-11159-00,"Yamaha Marine","Şanzıman & Redüksiyon","Yamaha Marine Şanzıman & Redüksiyon Elemanı & Orijinal Servis Kiti (69J-11159-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 59-00, Mallory 59-00, Solas 59-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11159-00)"
69J-11160-00,"Yamaha Marine","Yağlama & Filtre","Yamaha Marine Yağlama & Filtre Elemanı & Orijinal Servis Kiti (69J-11160-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 60-00, Mallory 60-00, Solas 60-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11160-00)"
69J-11161-00,"Yamaha Marine","Yakıt Filtrasyonu","Yamaha Marine Yakıt Filtrasyonu Elemanı & Orijinal Servis Kiti (69J-11161-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 61-00, Mallory 61-00, Solas 61-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11161-00)"
69J-11162-00,"Yamaha Marine","İmpeller & Soğutma","Yamaha Marine İmpeller & Soğutma Elemanı & Orijinal Servis Kiti (69J-11162-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 62-00, Mallory 62-00, Solas 62-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11162-00)"
69J-11163-00,"Yamaha Marine","Hava Emiş","Yamaha Marine Hava Emiş Elemanı & Orijinal Servis Kiti (69J-11163-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 63-00, Mallory 63-00, Solas 63-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11163-00)"
69J-11164-00,"Yamaha Marine","Termostat & Soğutma","Yamaha Marine Termostat & Soğutma Elemanı & Orijinal Servis Kiti (69J-11164-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 64-00, Mallory 64-00, Solas 64-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11164-00)"
69J-11165-00,"Yamaha Marine","Kayış & Kasnak","Yamaha Marine Kayış & Kasnak Elemanı & Orijinal Servis Kiti (69J-11165-00)","F70..F350 V8 Dıştan Takma Motor Parçaları","Sierra 65-00, Mallory 65-00, Solas 65-00","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 69J-11165-00)"
35-8M101166,"Mercury Marine","Sensör & Elektronik","Mercury Marine Sensör & Elektronik Elemanı & Orijinal Servis Kiti (35-8M101166)","Verado 150..400R ve Mercruiser V8 Parçaları","Sierra 01166, Quicksilver 01166, Mallory 01166","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 35-8M101166)"
35-8M101167,"Mercury Marine","Tutya & Korozyon","Mercury Marine Tutya & Korozyon Elemanı & Orijinal Servis Kiti (35-8M101167)","Verado 150..400R ve Mercruiser V8 Parçaları","Sierra 01167, Quicksilver 01167, Mallory 01167","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 35-8M101167)"
35-8M101168,"Mercury Marine","Ateşleme & Elektrik","Mercury Marine Ateşleme & Elektrik Elemanı & Orijinal Servis Kiti (35-8M101168)","Verado 150..400R ve Mercruiser V8 Parçaları","Sierra 01168, Quicksilver 01168, Mallory 01168","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 35-8M101168)"
35-8M101169,"Mercury Marine","Şanzıman & Redüksiyon","Mercury Marine Şanzıman & Redüksiyon Elemanı & Orijinal Servis Kiti (35-8M101169)","Verado 150..400R ve Mercruiser V8 Parçaları","Sierra 01169, Quicksilver 01169, Mallory 01169","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 35-8M101169)"
35-8M101170,"Mercury Marine","Yağlama & Filtre","Mercury Marine Yağlama & Filtre Elemanı & Orijinal Servis Kiti (35-8M101170)","Verado 150..400R ve Mercruiser V8 Parçaları","Sierra 01170, Quicksilver 01170, Mallory 01170","200-400 Saat / Sezonluk","Marin Standartlarında Ağır Hizmet Korozyon ve Basınç Dayanımlı OEM Parça (Kod: 35-8M101170)"
